Fecha,Metal,Precio
02/01/2001,ALUMINIO (¢/lb),71.06
02/01/2001,COBRE (¢/lb),80.92
02/01/2001,ESTAÑO (¢/lb),232.24
02/01/2001,NIQUEL (¢/lb),317.29
02/01/2001,ORO (US$/ozt),271.95
02/01/2001,PLATA (US$/ozt),4.59
02/01/2001,PLOMO (¢/lb),21.18
02/01/2001,ZINC (¢/lb),46.2
03/01/2001,ALUMINIO (¢/lb),68.99
03/01/2001,COBRE (¢/lb),78.04
03/01/2001,ESTAÑO (¢/lb),230.2
03/01/2001,NIQUEL (¢/lb),304.36
03/01/2001,ORO (US$/ozt),268.08
03/01/2001,PLATA (US$/ozt),4.53
03/01/2001,PLOMO (¢/lb),21.41
03/01/2001,ZINC (¢/lb),46.06
04/01/2001,ALUMINIO (¢/lb),69.56
04/01/2001,COBRE (¢/lb),79.97
04/01/2001,ESTAÑO (¢/lb),229.75
04/01/2001,NIQUEL (¢/lb),302.55
04/01/2001,ORO (US$/ozt),267.93
04/01/2001,PLATA (US$/ozt),4.5
04/01/2001,PLOMO (¢/lb),21.84
04/01/2001,ZINC (¢/lb),46.18
05/01/2001,ALUMINIO (¢/lb),69.81
05/01/2001,COBRE (¢/lb),79.56
05/01/2001,ESTAÑO (¢/lb),232.01
05/01/2001,NIQUEL (¢/lb),297.56
05/01/2001,ORO (US$/ozt),267.7
05/01/2001,PLATA (US$/ozt),4.52
05/01/2001,PLOMO (¢/lb),21.36
05/01/2001,ZINC (¢/lb),45.99
08/01/2001,ALUMINIO (¢/lb),69.81
08/01/2001,COBRE (¢/lb),79.36
08/01/2001,ESTAÑO (¢/lb),232.24
08/01/2001,NIQUEL (¢/lb),296.65
08/01/2001,ORO (US$/ozt),268.45
08/01/2001,PLATA (US$/ozt),4.57
08/01/2001,PLOMO (¢/lb),21.18
08/01/2001,ZINC (¢/lb),45.97
09/01/2001,ALUMINIO (¢/lb),71.71
09/01/2001,COBRE (¢/lb),80.99
09/01/2001,ESTAÑO (¢/lb),235.64
09/01/2001,NIQUEL (¢/lb),307.99
09/01/2001,ORO (US$/ozt),267.38
09/01/2001,PLATA (US$/ozt),4.55
09/01/2001,PLOMO (¢/lb),21.66
09/01/2001,ZINC (¢/lb),46.61
10/01/2001,ALUMINIO (¢/lb),71.58
10/01/2001,COBRE (¢/lb),80.24
10/01/2001,ESTAÑO (¢/lb),237.91
10/01/2001,NIQUEL (¢/lb),312.98
10/01/2001,ORO (US$/ozt),266.5
10/01/2001,PLATA (US$/ozt),4.53
10/01/2001,PLOMO (¢/lb),21.46
10/01/2001,ZINC (¢/lb),46.61
11/01/2001,ALUMINIO (¢/lb),71.51
11/01/2001,COBRE (¢/lb),80.94
11/01/2001,ESTAÑO (¢/lb),237.91
11/01/2001,NIQUEL (¢/lb),317.29
11/01/2001,ORO (US$/ozt),264.48
11/01/2001,PLATA (US$/ozt),4.55
11/01/2001,PLOMO (¢/lb),21.14
11/01/2001,ZINC (¢/lb),46.7
12/01/2001,ALUMINIO (¢/lb),73.48
12/01/2001,COBRE (¢/lb),81.15
12/01/2001,ESTAÑO (¢/lb),238.14
12/01/2001,NIQUEL (¢/lb),333.62
12/01/2001,ORO (US$/ozt),263.68
12/01/2001,PLATA (US$/ozt),4.56
12/01/2001,PLOMO (¢/lb),21.21
12/01/2001,ZINC (¢/lb),46.86
15/01/2001,ALUMINIO (¢/lb),73.94
15/01/2001,COBRE (¢/lb),82.21
15/01/2001,ESTAÑO (¢/lb),237.46
15/01/2001,NIQUEL (¢/lb),328.86
15/01/2001,ORO (US$/ozt),263.43
15/01/2001,PLATA (US$/ozt),4.6
15/01/2001,PLOMO (¢/lb),21.16
15/01/2001,ZINC (¢/lb),47.38
16/01/2001,ALUMINIO (¢/lb),72.44
16/01/2001,COBRE (¢/lb),80.38
16/01/2001,ESTAÑO (¢/lb),235.87
16/01/2001,NIQUEL (¢/lb),321.14
16/01/2001,ORO (US$/ozt),264.48
16/01/2001,PLATA (US$/ozt),4.61
16/01/2001,PLOMO (¢/lb),20.55
16/01/2001,ZINC (¢/lb),46.83
17/01/2001,ALUMINIO (¢/lb),71.51
17/01/2001,COBRE (¢/lb),80.26
17/01/2001,ESTAÑO (¢/lb),234.51
17/01/2001,NIQUEL (¢/lb),324.77
17/01/2001,ORO (US$/ozt),263.3
17/01/2001,PLATA (US$/ozt),4.67
17/01/2001,PLOMO (¢/lb),20.57
17/01/2001,ZINC (¢/lb),46.56
18/01/2001,ALUMINIO (¢/lb),73.3
18/01/2001,COBRE (¢/lb),81.51
18/01/2001,ESTAÑO (¢/lb),237.23
18/01/2001,NIQUEL (¢/lb),333.39
18/01/2001,ORO (US$/ozt),264.5
18/01/2001,PLATA (US$/ozt),4.73
18/01/2001,PLOMO (¢/lb),21.14
18/01/2001,ZINC (¢/lb),46.86
19/01/2001,ALUMINIO (¢/lb),75.3
19/01/2001,COBRE (¢/lb),83.23
19/01/2001,ESTAÑO (¢/lb),236.32
19/01/2001,NIQUEL (¢/lb),333.39
19/01/2001,ORO (US$/ozt),265.33
19/01/2001,PLATA (US$/ozt),4.82
19/01/2001,PLOMO (¢/lb),21.59
19/01/2001,ZINC (¢/lb),47.08
22/01/2001,ALUMINIO (¢/lb),74.98
22/01/2001,COBRE (¢/lb),82.65
22/01/2001,ESTAÑO (¢/lb),236.32
22/01/2001,NIQUEL (¢/lb),325
22/01/2001,ORO (US$/ozt),266.13
22/01/2001,PLATA (US$/ozt),4.78
22/01/2001,PLOMO (¢/lb),21.95
22/01/2001,ZINC (¢/lb),47.47
23/01/2001,ALUMINIO (¢/lb),74.66
23/01/2001,COBRE (¢/lb),83.33
23/01/2001,ESTAÑO (¢/lb),234.96
23/01/2001,NIQUEL (¢/lb),328.17
23/01/2001,ORO (US$/ozt),266.6
23/01/2001,PLATA (US$/ozt),4.81
23/01/2001,PLOMO (¢/lb),22.41
23/01/2001,ZINC (¢/lb),47.76
24/01/2001,ALUMINIO (¢/lb),74.98
24/01/2001,COBRE (¢/lb),82.19
24/01/2001,ESTAÑO (¢/lb),234.05
24/01/2001,NIQUEL (¢/lb),319.78
24/01/2001,ORO (US$/ozt),264.98
24/01/2001,PLATA (US$/ozt),4.77
24/01/2001,PLOMO (¢/lb),22.25
24/01/2001,ZINC (¢/lb),47.15
25/01/2001,ALUMINIO (¢/lb),75.3
25/01/2001,COBRE (¢/lb),81.31
25/01/2001,ESTAÑO (¢/lb),233.83
25/01/2001,NIQUEL (¢/lb),323.87
25/01/2001,ORO (US$/ozt),264.25
25/01/2001,PLATA (US$/ozt),4.78
25/01/2001,PLOMO (¢/lb),22.18
25/01/2001,ZINC (¢/lb),47.13
26/01/2001,ALUMINIO (¢/lb),76.43
26/01/2001,COBRE (¢/lb),81.87
26/01/2001,ESTAÑO (¢/lb),234.05
26/01/2001,NIQUEL (¢/lb),317.74
26/01/2001,ORO (US$/ozt),264.03
26/01/2001,PLATA (US$/ozt),4.79
26/01/2001,PLOMO (¢/lb),22.68
26/01/2001,ZINC (¢/lb),47.36
29/01/2001,ALUMINIO (¢/lb),77.11
29/01/2001,COBRE (¢/lb),81.28
29/01/2001,ESTAÑO (¢/lb),232.24
29/01/2001,NIQUEL (¢/lb),306.18
29/01/2001,ORO (US$/ozt),262.98
29/01/2001,PLATA (US$/ozt),4.79
29/01/2001,PLOMO (¢/lb),22.45
29/01/2001,ZINC (¢/lb),47.4
30/01/2001,ALUMINIO (¢/lb),76.66
30/01/2001,COBRE (¢/lb),80.47
30/01/2001,ESTAÑO (¢/lb),232.69
30/01/2001,NIQUEL (¢/lb),309.35
30/01/2001,ORO (US$/ozt),264.18
30/01/2001,PLATA (US$/ozt),4.8
30/01/2001,PLOMO (¢/lb),22.95
30/01/2001,ZINC (¢/lb),47.51
31/01/2001,ALUMINIO (¢/lb),78.79
31/01/2001,COBRE (¢/lb),81.9
31/01/2001,ESTAÑO (¢/lb),234.05
31/01/2001,NIQUEL (¢/lb),322.5
31/01/2001,ORO (US$/ozt),265.35
31/01/2001,PLATA (US$/ozt),4.79
31/01/2001,PLOMO (¢/lb),22.73
31/01/2001,ZINC (¢/lb),47.54
01/02/2001,ALUMINIO (¢/lb),77.34
01/02/2001,COBRE (¢/lb),81.99
01/02/2001,ESTAÑO (¢/lb),234.51
01/02/2001,NIQUEL (¢/lb),313.43
01/02/2001,ORO (US$/ozt),267.25
01/02/2001,PLATA (US$/ozt),4.8
01/02/2001,PLOMO (¢/lb),23.25
01/02/2001,ZINC (¢/lb),47.22
02/02/2001,ALUMINIO (¢/lb),76.7
02/02/2001,COBRE (¢/lb),80.97
02/02/2001,ESTAÑO (¢/lb),233.15
02/02/2001,NIQUEL (¢/lb),309.12
02/02/2001,ORO (US$/ozt),267.35
02/02/2001,PLATA (US$/ozt),4.75
02/02/2001,PLOMO (¢/lb),22.52
02/02/2001,ZINC (¢/lb),46.49
05/02/2001,ALUMINIO (¢/lb),75.09
05/02/2001,COBRE (¢/lb),81.06
05/02/2001,ESTAÑO (¢/lb),233.37
05/02/2001,NIQUEL (¢/lb),308.9
05/02/2001,ORO (US$/ozt),265.85
05/02/2001,PLATA (US$/ozt),4.72
05/02/2001,PLOMO (¢/lb),22.16
05/02/2001,ZINC (¢/lb),46.97
06/02/2001,ALUMINIO (¢/lb),73.94
06/02/2001,COBRE (¢/lb),80.06
06/02/2001,ESTAÑO (¢/lb),232.01
06/02/2001,NIQUEL (¢/lb),308.67
06/02/2001,ORO (US$/ozt),263.63
06/02/2001,PLATA (US$/ozt),4.66
06/02/2001,PLOMO (¢/lb),21.91
06/02/2001,ZINC (¢/lb),46.45
